"","title","author","journal","number","cites","year","cid","pubid"
"1","Plasma Lipidomic Profiles and Risk of Diabetes: Results from Two Prospective Cohorts of HIV-Infected and HIV-Uninfected Individuals","E Zhang, JC Chai, A Deik, S Hua, A Sharma, MF Schneider, D Gustafson, ...","","",0,2020,NA,"kVjdVfd2voEC"
"2","Metabolomic Profiling of Left Ventricular Diastolic Dysfunction in Women With or at Risk for HIV Infection: The Women's Interagency HIV Study","CA Bravo, S Hua, A Deik, J Lazar, DB Hanna, J Scott, JC Chai, ...","Journal of the American Heart Association","9 (4), e013522",0,2020,NA,"cK4Rrx0J3m0C"
"3","Serum Metabolomic Signatures of Multiple Healthful Dietary Patterns and Incident Cardiometabolic Diseases in US Hispanics/Latinos","G Chen, JC Chai, Z Shan, B Yu, Y Mossavar-Rahmani, D Sotres-Alvarez, ...","Circulation","141 (Suppl_1), A10-A10",0,2020,NA,"LdasjJ6CEcoC"
"4","Abstract P277: Lower Gut Microbial Diversity in Non-alcoholic Fatty Liver Disease: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JS Williams-Nguyen, MH Kuniholm, Z Wang, JC Chai, JY Moon, T Wang, ...","Circulation","141 (Suppl_1), AP277-AP277",0,2020,NA,"7Hz3ACDFbsoC"
"5","Metabolomic Signatures of Sedentary Behavior and Cardiometabolic Traits in US Hispanics/Latinos: Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JC Chai, JY Moon, B Yu, G Chen, M Graff, ML DAVIGLUS, QM Chan, ...","Circulation","141 (Suppl_1), A29-A29",0,2020,NA,"MpfHP-DdYjUC"
"6","Abstract MP59: Serum Sphingolipids and Incident Diabetes in US Hispanics/Latinos: The Hispanic Community Health Study/Study of Latinos (HCHS/SOL)","JC Chai, G Chen, B Yu, M Grove, AM Fretts, ML DAVIGLUS, ...","Circulation","141 (Suppl_1), AMP59-AMP59",0,2020,NA,"PaBasH6fAo0C"
"7","154-OR: Metabolomic Profiling and Diabetes Risk in US Hispanics/Latinos: Hispanic Community Health Study/Study of Latinos","JC Chai, J Li, B Yu, C Isasi, T Khambaty, L Van Horn, DC Vidot, ...","Diabetes","68 (Supplement 1), 154-OR",0,2019,NA,"U4n9YNQMCAIC"
"8","Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3)-stimulated human mesenchymal stromal cells","SH Kim, A Das, HI Choi, KH Kim, JC Chai, MR Choi, B Binas, KS Park, ...","Journal of Biological Chemistry","294 (21), 8424-8437",2,2019,"8080658870441969351","zCSUwVk65WsC"
"9","Association of Lipidomic Profiles With Progression of Carotid Artery Atherosclerosis in HIV Infection","JC Chai, AA Deik, S Hua, T Wang, DB Hanna, X Xue, SA Haberlen, ...","JAMA cardiology","4 (12), 1239-1249",2,2019,"11552294137346894940","v1_lew4L6wgC"
"10","Association between regional body fat and cardiovascular disease risk among postmenopausal women with normal body mass index","GC Chen, R Arthur, NM Iyengar, V Kamensky, X Xue, ...","European heart journal","40 (34), 2849-2855",11,2019,"1739643506013864222","BzfGm06jWhQC"
"11","Gene expression signatures after ethanol exposure in differentiating embryoid bodies","C Mandal, SH Kim, JC Chai, YS Lee, KH Jung, YG Chai","Toxicology in Vitro","46, 66-76",0,2018,NA,"1lhNe0rCu4AC"
"12","Abstract MP66: Lipidomics Profiling and Progression of Carotid Artery Atherosclerosis in HIV-infected Individuals","JC Chai, S Hua, CB Clish, AA Deik, T Wang, DB Hanna, SA Haberlen, ...","Circulation","137 (suppl_1), AMP66-AMP66",0,2018,NA,"43bX7VzcjpAC"
